geometry,polylines,id,city,object,type,lat,lon,count_people
"POLYGON ((39.80904468435298 43.538448069874875, 39.80568966389065 43.54271640183475, 39.79911072236494 43.54297127171113, 39.79588746866441 43.53895764877243, 39.79924306954549 43.53468936015758, 39.80582134377904 43.5344346511317, 39.80904468435298 43.538448069874875))","[(43.538448069874875, 39.80904468435298), (43.54271640183475, 39.80568966389065), (43.54297127171113, 39.79911072236494), (43.53895764877243, 39.79588746866441), (43.53468936015758, 39.79924306954549), (43.5344346511317, 39.80582134377904), (43.538448069874875, 39.80904468435298)]",52,Сочи,building,house,43.54043168396019,39.799412527131636,3
"POLYGON ((39.80904468435298 43.538448069874875, 39.80568966389065 43.54271640183475, 39.79911072236494 43.54297127171113, 39.79588746866441 43.53895764877243, 39.79924306954549 43.53468936015758, 39.80582134377904 43.5344346511317, 39.80904468435298 43.538448069874875))","[(43.538448069874875, 39.80904468435298), (43.54271640183475, 39.80568966389065), (43.54297127171113, 39.79911072236494), (43.53895764877243, 39.79588746866441), (43.53468936015758, 39.79924306954549), (43.5344346511317, 39.80582134377904), (43.538448069874875, 39.80904468435298)]",52,Сочи,building,house,43.54053861269031,39.799196892808936,3
"POLYGON ((39.7150844209355 43.64962408665276, 39.71830985356285 43.653635894680015, 39.71494334288287 43.657899820642484, 39.708350819062964 43.65815189417802, 39.70512547599206 43.654139882452284, 39.708492567113396 43.649876000894146, 39.7150844209355 43.64962408665276))","[(43.64962408665276, 39.7150844209355), (43.653635894680015, 39.71830985356285), (43.657899820642484, 39.71494334288287), (43.65815189417802, 39.708350819062964), (43.654139882452284, 39.70512547599206), (43.649876000894146, 39.708492567113396), (43.64962408665276, 39.7150844209355)]",98,Сочи,building,house,43.65247495,39.71009804999999,3
"POLYGON ((39.7150844209355 43.64962408665276, 39.71830985356285 43.653635894680015, 39.71494334288287 43.657899820642484, 39.708350819062964 43.65815189417802, 39.70512547599206 43.654139882452284, 39.708492567113396 43.649876000894146, 39.7150844209355 43.64962408665276))","[(43.64962408665276, 39.7150844209355), (43.653635894680015, 39.71830985356285), (43.657899820642484, 39.71494334288287), (43.65815189417802, 39.708350819062964), (43.654139882452284, 39.70512547599206), (43.649876000894146, 39.708492567113396), (43.64962408665276, 39.7150844209355)]",98,Сочи,building,house,43.65262922156392,39.70883014843893,3
"POLYGON ((39.7150844209355 43.64962408665276, 39.71830985356285 43.653635894680015, 39.71494334288287 43.657899820642484, 39.708350819062964 43.65815189417802, 39.70512547599206 43.654139882452284, 39.708492567113396 43.649876000894146, 39.7150844209355 43.64962408665276))","[(43.64962408665276, 39.7150844209355), (43.653635894680015, 39.71830985356285), (43.657899820642484, 39.71494334288287), (43.65815189417802, 39.708350819062964), (43.654139882452284, 39.70512547599206), (43.649876000894146, 39.708492567113396), (43.64962408665276, 39.7150844209355)]",98,Сочи,building,house,43.6526394233444,39.71021690386185,3
"POLYGON ((39.7150844209355 43.64962408665276, 39.71830985356285 43.653635894680015, 39.71494334288287 43.657899820642484, 39.708350819062964 43.65815189417802, 39.70512547599206 43.654139882452284, 39.708492567113396 43.649876000894146, 39.7150844209355 43.64962408665276))","[(43.64962408665276, 39.7150844209355), (43.653635894680015, 39.71830985356285), (43.657899820642484, 39.71494334288287), (43.65815189417802, 39.708350819062964), (43.654139882452284, 39.70512547599206), (43.649876000894146, 39.708492567113396), (43.64962408665276, 39.7150844209355)]",98,Сочи,building,house,43.6528640921134,39.70717105617461,3
"POLYGON ((39.7150844209355 43.64962408665276, 39.71830985356285 43.653635894680015, 39.71494334288287 43.657899820642484, 39.708350819062964 43.65815189417802, 39.70512547599206 43.654139882452284, 39.708492567113396 43.649876000894146, 39.7150844209355 43.64962408665276))","[(43.64962408665276, 39.7150844209355), (43.653635894680015, 39.71830985356285), (43.657899820642484, 39.71494334288287), (43.65815189417802, 39.708350819062964), (43.654139882452284, 39.70512547599206), (43.649876000894146, 39.708492567113396), (43.64962408665276, 39.7150844209355)]",98,Сочи,building,house,43.65282005256197,39.71169011624334,3
"POLYGON ((39.7150844209355 43.64962408665276, 39.71830985356285 43.653635894680015, 39.71494334288287 43.657899820642484, 39.708350819062964 43.65815189417802, 39.70512547599206 43.654139882452284, 39.708492567113396 43.649876000894146, 39.7150844209355 43.64962408665276))","[(43.64962408665276, 39.7150844209355), (43.653635894680015, 39.71830985356285), (43.657899820642484, 39.71494334288287), (43.65815189417802, 39.708350819062964), (43.654139882452284, 39.70512547599206), (43.649876000894146, 39.708492567113396), (43.64962408665276, 39.7150844209355)]",98,Сочи,building,house,43.65357649999999,39.7089201,3
"POLYGON ((39.7150844209355 43.64962408665276, 39.71830985356285 43.653635894680015, 39.71494334288287 43.657899820642484, 39.708350819062964 43.65815189417802, 39.70512547599206 43.654139882452284, 39.708492567113396 43.649876000894146, 39.7150844209355 43.64962408665276))","[(43.64962408665276, 39.7150844209355), (43.653635894680015, 39.71830985356285), (43.657899820642484, 39.71494334288287), (43.65815189417802, 39.708350819062964), (43.654139882452284, 39.70512547599206), (43.649876000894146, 39.708492567113396), (43.64962408665276, 39.7150844209355)]",98,Сочи,building,house,43.6541582,39.7101114,3
"POLYGON ((39.7150844209355 43.64962408665276, 39.71830985356285 43.653635894680015, 39.71494334288287 43.657899820642484, 39.708350819062964 43.65815189417802, 39.70512547599206 43.654139882452284, 39.708492567113396 43.649876000894146, 39.7150844209355 43.64962408665276))","[(43.64962408665276, 39.7150844209355), (43.653635894680015, 39.71830985356285), (43.657899820642484, 39.71494334288287), (43.65815189417802, 39.708350819062964), (43.654139882452284, 39.70512547599206), (43.649876000894146, 39.708492567113396), (43.64962408665276, 39.7150844209355)]",98,Сочи,building,house,43.65416775,39.71032125,3
