geometry,polylines,id,city,object,type,lat,lon
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.181643883253635,37.640227119180764
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.18181766126666,37.641881981164865
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.1819329,37.641520799999995
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.18196605,37.6410898
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.1810125538146,37.63814684751399
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.18121065,37.63781445
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.181476341153605,37.63726900789502
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,amenity,kindergarten,54.18151868900618,37.63383097186966
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.18168720709686,37.63514310210567
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.18171873611473,37.63617484096392
"POLYGON ((37.62995166001512 54.18429400210511, 37.634200427505796 54.18032438648636, 37.64181920679096 54.18073889471969, 37.64519063656374 54.18512333958394, 37.640942010000664 54.189093408452756, 37.63332181255938 54.18867857917867, 37.62995166001512 54.18429400210511))","[(54.18429400210511, 37.62995166001512), (54.18032438648636, 37.634200427505796), (54.18073889471969, 37.64181920679096), (54.18512333958394, 37.64519063656374), (54.189093408452756, 37.640942010000664), (54.18867857917867, 37.63332181255938), (54.18429400210511, 37.62995166001512)]",9,Тула,highway,footway,54.18213335,37.635495649999996
