geometry,polylines,id,city,object,type,lat,lon,count_people
"POLYGON ((37.625125545755225 54.12101383115204, 37.62936832489378 54.117042880739824, 37.636975519144706 54.117455660745655, 37.640341347904545 54.12183971233122, 37.636098709021624 54.12581111597835, 37.62849010094623 54.12539801477643, 37.625125545755225 54.12101383115204))","[(54.12101383115204, 37.625125545755225), (54.117042880739824, 37.62936832489378), (54.117455660745655, 37.636975519144706), (54.12183971233122, 37.640341347904545), (54.12581111597835, 37.636098709021624), (54.12539801477643, 37.62849010094623), (54.12101383115204, 37.625125545755225)]",6,Тула,building,house,54.11968016781904,37.62833044982299,3
"POLYGON ((37.625125545755225 54.12101383115204, 37.62936832489378 54.117042880739824, 37.636975519144706 54.117455660745655, 37.640341347904545 54.12183971233122, 37.636098709021624 54.12581111597835, 37.62849010094623 54.12539801477643, 37.625125545755225 54.12101383115204))","[(54.12101383115204, 37.625125545755225), (54.117042880739824, 37.62936832489378), (54.117455660745655, 37.636975519144706), (54.12183971233122, 37.640341347904545), (54.12581111597835, 37.636098709021624), (54.12539801477643, 37.62849010094623), (54.12101383115204, 37.625125545755225)]",6,Тула,building,house,54.11975869512252,37.62879363049392,3
"POLYGON ((37.625125545755225 54.12101383115204, 37.62936832489378 54.117042880739824, 37.636975519144706 54.117455660745655, 37.640341347904545 54.12183971233122, 37.636098709021624 54.12581111597835, 37.62849010094623 54.12539801477643, 37.625125545755225 54.12101383115204))","[(54.12101383115204, 37.625125545755225), (54.117042880739824, 37.62936832489378), (54.117455660745655, 37.636975519144706), (54.12183971233122, 37.640341347904545), (54.12581111597835, 37.636098709021624), (54.12539801477643, 37.62849010094623), (54.12101383115204, 37.625125545755225)]",6,Тула,building,house,54.11995050000001,37.6286839,3
"POLYGON ((37.625125545755225 54.12101383115204, 37.62936832489378 54.117042880739824, 37.636975519144706 54.117455660745655, 37.640341347904545 54.12183971233122, 37.636098709021624 54.12581111597835, 37.62849010094623 54.12539801477643, 37.625125545755225 54.12101383115204))","[(54.12101383115204, 37.625125545755225), (54.117042880739824, 37.62936832489378), (54.117455660745655, 37.636975519144706), (54.12183971233122, 37.640341347904545), (54.12581111597835, 37.636098709021624), (54.12539801477643, 37.62849010094623), (54.12101383115204, 37.625125545755225)]",6,Тула,building,apartments,54.119994049999995,37.62621935,30
"POLYGON ((37.625125545755225 54.12101383115204, 37.62936832489378 54.117042880739824, 37.636975519144706 54.117455660745655, 37.640341347904545 54.12183971233122, 37.636098709021624 54.12581111597835, 37.62849010094623 54.12539801477643, 37.625125545755225 54.12101383115204))","[(54.12101383115204, 37.625125545755225), (54.117042880739824, 37.62936832489378), (54.117455660745655, 37.636975519144706), (54.12183971233122, 37.640341347904545), (54.12581111597835, 37.636098709021624), (54.12539801477643, 37.62849010094623), (54.12101383115204, 37.625125545755225)]",6,Тула,building,house,54.120081,37.628116049999996,3
"POLYGON ((37.625125545755225 54.12101383115204, 37.62936832489378 54.117042880739824, 37.636975519144706 54.117455660745655, 37.640341347904545 54.12183971233122, 37.636098709021624 54.12581111597835, 37.62849010094623 54.12539801477643, 37.625125545755225 54.12101383115204))","[(54.12101383115204, 37.625125545755225), (54.117042880739824, 37.62936832489378), (54.117455660745655, 37.636975519144706), (54.12183971233122, 37.640341347904545), (54.12581111597835, 37.636098709021624), (54.12539801477643, 37.62849010094623), (54.12101383115204, 37.625125545755225)]",6,Тула,building,house,54.12019551035792,37.628573113923025,3
"POLYGON ((37.625125545755225 54.12101383115204, 37.62936832489378 54.117042880739824, 37.636975519144706 54.117455660745655, 37.640341347904545 54.12183971233122, 37.636098709021624 54.12581111597835, 37.62849010094623 54.12539801477643, 37.625125545755225 54.12101383115204))","[(54.12101383115204, 37.625125545755225), (54.117042880739824, 37.62936832489378), (54.117455660745655, 37.636975519144706), (54.12183971233122, 37.640341347904545), (54.12581111597835, 37.636098709021624), (54.12539801477643, 37.62849010094623), (54.12101383115204, 37.625125545755225)]",6,Тула,building,house,54.12028295281906,37.62803406922518,3
"POLYGON ((37.625125545755225 54.12101383115204, 37.62936832489378 54.117042880739824, 37.636975519144706 54.117455660745655, 37.640341347904545 54.12183971233122, 37.636098709021624 54.12581111597835, 37.62849010094623 54.12539801477643, 37.625125545755225 54.12101383115204))","[(54.12101383115204, 37.625125545755225), (54.117042880739824, 37.62936832489378), (54.117455660745655, 37.636975519144706), (54.12183971233122, 37.640341347904545), (54.12581111597835, 37.636098709021624), (54.12539801477643, 37.62849010094623), (54.12101383115204, 37.625125545755225)]",6,Тула,building,house,54.12042206753817,37.62850365830813,3
"POLYGON ((37.625125545755225 54.12101383115204, 37.62936832489378 54.117042880739824, 37.636975519144706 54.117455660745655, 37.640341347904545 54.12183971233122, 37.636098709021624 54.12581111597835, 37.62849010094623 54.12539801477643, 37.625125545755225 54.12101383115204))","[(54.12101383115204, 37.625125545755225), (54.117042880739824, 37.62936832489378), (54.117455660745655, 37.636975519144706), (54.12183971233122, 37.640341347904545), (54.12581111597835, 37.636098709021624), (54.12539801477643, 37.62849010094623), (54.12101383115204, 37.625125545755225)]",6,Тула,building,apartments,54.12045753729272,37.62611863039413,120
"POLYGON ((37.625125545755225 54.12101383115204, 37.62936832489378 54.117042880739824, 37.636975519144706 54.117455660745655, 37.640341347904545 54.12183971233122, 37.636098709021624 54.12581111597835, 37.62849010094623 54.12539801477643, 37.625125545755225 54.12101383115204))","[(54.12101383115204, 37.625125545755225), (54.117042880739824, 37.62936832489378), (54.117455660745655, 37.636975519144706), (54.12183971233122, 37.640341347904545), (54.12581111597835, 37.636098709021624), (54.12539801477643, 37.62849010094623), (54.12101383115204, 37.625125545755225)]",6,Тула,building,house,54.120547299999984,37.62784874999999,3
